533;245;;;;;0;;
535;39;;;;;70;;
476;151;;;;;60;;
420;154;;;;;70;;
506;75;;;;;90;;
552;87;0;;;;;;0 
357;216;;;;;90;;
427;194;;;;;0;;
502;167;;;;;10;;
388;74;;;;;70;;
439;226;;;;;;; 
577;377;96;70;03;14;76;0; 
518;219;;;;;70;;
380;128;;;;;;; 
591;61;;;;;0;;
572;195;;;;;70;;
580;108;;;;;0;;
565;181;;;;;80;;
411;21;;;;;80;;
630;240;;;;;0;;
380;183;;;;;70;;
480;177;;;;;;; 
485;114;;;;;0;;
437;148;;;;;80;;
357;117;;;;;70;;
563;100;;;;;;; 
473;105;;;;;90;;
529;72;;;;;70;;
492;179;;;;;80;;
475;108;;;;;60;;
389;225;;;;;80;;
622;116;;;;;70;;
598;20;;;;;70;;
618;151;;;;;80;;
463;65;;;;;80;;
447;182;85;17;77;87;47;0; 
462;226;;;;;70;;
547;210;;;;;60;;
634;73;;;;;70;;
596;52;;;;;70;;
373;71;;;;;60;;
590;205;;;;;0;;
385;162;;;;;80;;
430;127;;;;;0;;
449;111;;;;;70;;
590;47;;;;;70;;
435;26;;;;;0;;
350;137;;;;;70;;
537;215;;;;;10;;
551;173;;;;;70;;
564;65;;;;;70;;
469;8;;;;;70;;
370;122;;;;;;; 
513;234;;;;;0;;
526;44;;;;;0;;
537;220;;;;;0;;
559;113;0;;;;;;0 
203;394;79;60;75;80;41;0; 
385;252;;;;;70;;
542;113;;;;;20;;
474;108;;;;;70;;
394;164;;;;;;; 
559;217;;;;;70;;
572;234;;;;;90;;
363;20;;;;;80;;
430;254;;;;;90;;
421;287;;;;;;; 
416;106;;;;;80;;
202;422;;;;;;; 
600;71;;;;;;; 
576;245;;;;;90;;
594;76;;;;;;; 
604;161;;;;;70;;
412;27;;;;;10;;
482;175;;;;;;; 
445;226;;;;;;; 
545;43;;;;;;; 
537;34;;;;;80;;
647;105;;;;;;; 
438;244;;;;;90;;
458;180;;;;;20;;
578;124;;;;;70;;
427;206;;;;;90;;
539;108;;;;;70;;
574;218;;;;;0;;
499;14;;;;;70;;
615;198;;;;;10;;
523;183;;;;;;; 
505;92;;;;;20;;
450;79;;;;;60;;
547;157;;;;;70;;
560;19;;;;;0;;
351;102;;;;;80;;
597;222;;;;;0;;
510;49;;;;;0;;
527;196;;;;;;; 
590;63;;;;;;; 
435;185;;;;;80;;
408;156;;;;;10;;
199;392;;;;;;; 
491;16;;;;;60;;
626;140;;;;;60;;
672;453;;;;;;; 
524;218;;;;;20;;
557;247;;;;;80;;
397;173;;;;;90;;
360;148;;;;;;; 
381;28;;;;;70;;
607;132;;;;;80;;
549;46;;;;;;; 
476;207;;;;;;; 
536;78;;;;;80;;
624;50;;;;;90;;
556;76;;;;;60;;
202;450;77;70;78;;;; 
437;215;;;;;70;;
559;231;;;;;80;;
375;236;;;;;60;;
496;139;;;;;70;;
472;276;81;83;74;83;17;0; 
419;221;72;74;80;;;; 
493;90;;;;;70;;
592;57;;;;;60;;
477;195;;;;;;; 
530;148;;;;;;; 
433;143;;;;;70;;
613;227;;;;;80;;
594;134;;;;;0;;
602;69;;;;;70;;
582;475;;;;;;; 
572;153;;;;;80;;
576;184;;;;;0;;
504;88;;;;;20;;
521;174;;;;;;; 
433;27;;;;;70;;
403;20;;;;;80;;
406;93;;;;;70;;
601;333;;;;;;; 
557;167;;;;;0;;
618;34;;;;;70;;
219;374;;;;;;; 
532;181;;;;;70;;
362;208;;;;;70;;
573;253;;;;;80;;
639;431;;;;;;; 
505;216;;;;;;; 
584;44;;;;;;;181 
455;94;;;;;70;;
366;114;;;;;;; 
445;139;;;;;70;;
674;446;;;;;;; 
600;215;;;;;80;;
482;28;;;;;0;;
587;141;;;;;;; 
439;278;;;;;;; 
444;183;;;;;;; 
616;113;;;;;70;;
467;269;89;75;31;;;; 
442;71;;;;;80;;
547;80;;;;;80;;
501;72;;;;;70;;
416;227;;;;;;; 
451;193;;;;;60;;
646;425;;;;;;; 
409;49;;;;;70;;
478;193;;;;;;; 
481;140;;;;;90;;
604;330;;;;;;; 
597;84;;;;;80;;
489;2;;;;;90;;
414;224;;;;;;; 
369;251;;;;;80;;
627;47;;;;;80;;
617;192;;;;;70;;
626;154;;;;;80;;
557;238;;;;;80;;
354;253;;;;;80;;
476;122;;;;;70;;
624;154;;;;;80;;
472;137;;;;;90;;
502;237;;;;;;; 
427;108;;;;;0;;
632;50;;;;;60;;
511;148;;;;;60;;
447;60;;;;;90;;
200;412;;;;;;; 
588;190;;;;;20;;
450;189;;;;;80;;
499;9;;;;;10;;
510;150;;;;;70;;
497;120;;;;;80;;
615;114;;;;;70;;
510;86;;;;;60;;
361;37;;;;;0;;
375;190;;;;;90;;
430;171;;;;;0;;
535;107;;;;;90;;
434;287;14;81;70;;;; 
576;190;;;;;90;;
502;141;;;;;70;;
502;219;83;83;83;;;; 
642;104;;;;;;; 
548;76;;;;;90;;
607;207;;;;;70;;
534;13;;;;;70;;
478;78;;;;;70;;
589;141;;;;;;;181 
402;168;;;;;;; 
528;163;;;;;70;;
572;26;;;;;70;;
208;384;;;;;;; 
350;2;;;;;80;;
406;21;;;;;0;;
566;38;;;;;70;;
372;252;;;;;10;;
480;208;;;;;;; 
374;20;;;;;70;;
405;142;;;;;0;;
387;12;;;;;70;;
453;61;;;;;70;;
381;197;;;;;70;;
425;160;;;;;90;;
598;172;;;;;0;;
421;185;;;;;0;;
440;78;;;;;80;;
574;106;;;;;;; 
476;104;;;;;70;;
457;73;;;;;80;;
435;229;;;;;0;;
430;139;;;;;90;;
445;1;;;;;10;;
589;185;;;;;80;;
678;455;;;;;;; 
451;261;;;;;;; 
471;70;;;;;90;;
352;119;;;;;70;;
375;117;;;;;;; 
360;128;;;;;70;;
570;237;;;;;0;;
491;48;;;;;90;;
496;203;;;;;;; 
360;222;;;;;70;;
416;203;;;;;;; 
556;97;0;;;;;;0 
